date,renewable_energy_kwh,campus_energy_kwh,surplus_energy_kwh,peak_surplus_kw,valid_intervals,total_intervals,surplus_intervals,data_completeness
2022-07-23,17049.744333333332,27022.611999999997,1370.0842499999999,1392.0349999999999,288,288,44,1.0
2022-06-15,21884.252,36011.43675,1356.2728333333332,969.6419999999998,288,288,40,1.0
2022-05-11,17298.560166666666,36904.09525,1348.8425,1225.554,288,288,28,1.0
2022-12-15,14050.772631281903,43379.63691666666,1328.6450481011673,1830.6634160084977,288,288,30,1.0
2022-10-09,16941.238416666667,33346.17533333333,1327.21275,1082.287,288,288,35,1.0
2023-10-18,30336.717916666665,50166.911,1306.6370833333333,1430.159,288,288,31,1.0
2022-07-24,17983.034499999998,26945.494416666665,1299.4055833333334,991.537,288,288,63,1.0
2022-09-15,17400.41875,33170.67441666666,1283.1489999999997,1449.723,288,288,38,1.0
2023-08-28,13271.493333333332,26079.206583333333,1270.9276666666665,1004.2890000000002,288,288,42,1.0
2023-03-10,25042.928166666665,47033.62858333333,1270.0463333333337,875.9470000000001,288,288,38,1.0
2023-08-18,21932.310416666667,35648.130333333334,1260.6890833333332,2246.795,288,288,26,1.0
2023-05-25,16489.893333333333,46202.66533333333,1240.3865833333334,1586.9850000000001,288,288,20,1.0
2022-05-09,22948.66833333333,37623.27583333333,1235.8342499999999,1349.433,288,288,38,1.0
2023-07-05,20088.36407989618,38761.46166666666,1235.3238230383156,866.9096656634929,288,288,37,1.0
2022-04-19,13654.772583333333,32606.7735,1230.2475833333335,1440.9430000000002,288,288,30,1.0
2022-10-15,21944.037249999998,43227.129916666665,1212.1346666666666,1141.1879999999996,288,288,30,1.0
2023-04-12,30123.77033333333,42681.005,1210.00575,1256.288,288,288,39,1.0
2023-04-29,15446.6755,39411.96033333333,1200.53875,1514.0229999999997,288,288,26,1.0
2022-10-10,22177.393666666667,43482.888249999996,1162.3452499999999,658.2530000000002,288,288,38,1.0
2022-10-06,23875.39275,42305.10516666666,1161.0708333333332,1049.8690000000001,288,288,29,1.0
2022-06-01,21449.35325,39343.39825,1131.98175,1033.882,288,288,34,1.0
2022-12-16,11649.626953339908,41215.966583333335,1130.0454101270457,1871.9769080538827,288,288,21,1.0
2023-03-11,15667.66175,34958.893416666666,1125.5463333333332,1406.156,288,288,25,1.0
2022-09-04,17605.06808333333,32088.45333333333,1115.7305,963.3460000000005,288,288,44,1.0
2023-07-17,17209.624,41589.271916666665,1113.5795,1670.278,288,288,17,1.0
2023-02-18,22949.180416666666,36208.83308333333,1099.87875,1292.4229999999998,288,288,23,1.0
2023-09-18,17147.689666666665,37013.58545833333,1071.779,1169.199,288,288,21,1.0
2022-08-19,21410.405416666665,36039.651,1070.5249999999999,972.8920000000003,288,288,47,1.0
2022-09-07,18524.031666666666,38399.475,1057.0280833333331,1048.194,288,288,32,1.0
2023-04-26,21052.280499999997,49559.9695,1049.6240833333334,1498.6600000000003,288,288,20,1.0
2022-08-22,17226.96225,38532.138,1049.5805833333334,953.558,288,288,36,1.0
2023-09-17,16021.075333333332,30526.840083333333,1041.8015833333334,882.982,288,288,48,1.0
2022-09-03,15206.808333333332,32183.682666666664,1040.74275,1103.658,288,288,35,1.0
2022-06-13,19924.487999999998,37748.80983333333,1037.7693333333332,945.4839999999997,288,288,37,1.0
2023-07-03,18400.66035030152,39392.876124999995,1004.4991216087449,1241.1343006729383,288,288,23,1.0
2022-05-25,22802.04825,38413.00933333333,997.7275833333333,915.5980000000004,288,288,31,1.0
2022-07-22,15415.027333333333,32212.045583333333,986.7546666666667,1205.351,288,288,37,1.0
2023-09-16,14698.945666666667,29885.272083333333,983.5469166666667,1452.9460000000004,288,288,28,1.0
2022-05-29,15945.677166666666,32882.118083333335,982.6934166666666,874.7699999999998,288,288,39,1.0
2022-05-16,16243.1235,36504.64991666666,972.6109999999999,1123.498,288,288,25,1.0
2022-06-08,23594.85383333333,41306.405166666664,970.86325,1002.8050000000001,288,288,43,1.0
2022-10-30,15119.050166666666,39192.68458333333,963.2654166666666,1268.2930000000001,288,288,21,1.0
2022-07-25,20583.379333333334,33123.77216666666,961.24275,796.5300000000002,288,288,40,1.0
2023-05-17,19390.475666666665,50194.53366666666,946.8657499999999,1631.187,288,288,13,1.0
2023-05-19,17075.452916666665,51217.428166666665,946.1305,2113.5080000000003,288,288,17,1.0
2023-08-31,14087.64,30454.94383333333,940.5458333333332,1221.2909999999997,288,288,31,1.0
